date,store_nbr,onpromotion,sales
2026-05-16,2,14,4304
2026-05-17,2,10,3803
2026-05-18,2,14,3583
2026-05-19,2,20,3724
2026-05-20,2,10,3470
2026-05-21,2,11,3451
2026-05-22,2,20,4284
2026-05-23,2,17,4273
2026-05-24,2,20,4278
2026-05-25,2,20,3718
2026-05-26,2,10,3398
2026-05-27,2,11,3549
2026-05-28,2,16,3745
2026-05-29,2,15,3968
2026-05-30,2,19,4355
2026-05-31,2,12,4025
2026-06-01,2,26,4358
2026-06-02,2,15,3730
2026-06-03,2,22,4095
2026-06-04,2,10,3641
2026-06-05,2,17,4111
2026-06-06,2,6,3749
2026-06-07,2,18,4226
2026-06-08,2,14,3621
2026-06-09,2,18,3824
2026-06-10,2,17,3786
2026-06-11,2,13,3682
2026-06-12,2,20,4328
2026-06-13,2,11,4086
2026-06-14,2,13,4117
2026-06-15,2,7,3173
2026-06-16,2,13,3842
2026-06-17,2,19,3952
2026-06-18,2,18,4199
2026-06-19,2,13,3961
2026-06-20,2,21,4642
2026-06-21,2,18,4248
2026-06-22,2,24,4236
2026-06-23,2,17,3868
2026-06-24,2,4,3299
2026-06-25,2,14,3861
2026-06-26,2,18,4203
2026-06-27,2,6,3911
2026-06-28,2,11,3928
2026-06-29,2,11,3427
2026-06-30,2,3,3244
2026-01-01,3,16,3958
2026-01-02,3,24,4464
2026-01-03,3,5,3690
2026-01-04,3,8,3709
2026-01-05,3,15,3410
2026-01-06,3,16,3562
2026-01-07,3,16,3748
2026-01-08,3,13,3707
2026-01-09,3,12,3831
2026-01-10,3,6,3815
2026-01-11,3,24,4700
2026-01-12,3,21,3942
2026-01-13,3,11,3588
2026-01-14,3,14,3656
2026-01-15,3,13,3722
2026-01-16,3,12,3878
2026-01-17,3,9,3928
2026-01-18,3,26,4612
2026-01-19,3,13,3542
2026-01-20,3,18,3694
2026-01-21,3,13,3697
2026-01-22,3,16,3869
2026-01-23,3,22,4305
2026-01-24,3,15,4203
2026-01-25,3,22,4250
2026-01-26,3,11,3350
2026-01-27,3,18,3849
2026-01-28,3,21,3856
2026-01-29,3,18,3928
2026-01-30,3,11,3887
2026-01-31,3,10,3823
2026-02-01,3,13,3929
2026-02-02,3,11,3501
2026-02-03,3,16,3911
2026-02-04,3,14,3594
2026-02-05,3,11,3605
2026-02-06,3,8,3803
2026-02-07,3,11,3950
2026-02-08,3,18,4294
2026-02-09,3,16,3718
2026-02-10,3,18,3867
2026-02-11,3,21,4106
2026-02-12,3,16,3965
2026-02-13,3,7,3701
2026-02-14,3,13,4243
2026-02-15,3,8,3971
2026-02-16,3,15,3551
2026-02-17,3,6,3263
2026-02-18,3,14,3667
2026-02-19,3,15,3822
2026-02-20,3,17,4131
2026-02-21,3,14,4360
2026-02-22,3,27,4645
2026-02-23,3,12,3440
2026-02-24,3,18,3761
2026-02-25,3,12,3633
2026-02-26,3,10,3554
2026-02-27,3,12,3767
2026-02-28,3,7,3899
2026-03-01,3,15,4283
2026-03-02,3,6,3326
2026-03-03,3,18,4054
2026-03-04,3,14,3792
2026-03-05,3,18,4112
2026-03-06,3,9,3880
2026-03-07,3,22,4816
2026-03-08,3,20,4497
2026-03-09,3,19,3938
2026-03-10,3,14,4036
2026-03-11,3,18,4019
2026-03-12,3,14,4001
2026-03-13,3,21,4484
2026-03-14,3,6,4003
2026-03-15,3,15,4310
2026-03-16,3,21,4117
2026-03-17,3,19,3953
2026-03-18,3,19,4301
2026-03-19,3,18,4187
2026-03-20,3,15,4401
2026-03-21,3,10,4210
2026-03-22,3,17,4463
2026-03-23,3,12,3684
2026-03-24,3,13,3775
2026-03-25,3,14,3769
2026-03-26,3,14,4051
2026-03-27,3,10,3978
2026-03-28,3,18,4508
2026-03-29,3,15,4205
2026-03-30,3,20,4248
2026-03-31,3,25,4320
2026-04-01,3,18,4155
2026-04-02,3,15,4239
2026-04-03,3,8,4079
2026-04-04,3,14,4619
2026-04-05,3,15,4319
2026-04-06,3,16,3994
2026-04-07,3,15,3984
2026-04-08,3,12,3664
2026-04-09,3,19,4355
2026-04-10,3,15,4326
2026-04-11,3,20,4739
2026-04-12,3,11,4171
2026-04-13,3,20,3995
2026-04-14,3,20,4122
2026-04-15,3,9,3825
2026-04-16,3,14,3935
2026-04-17,3,13,4308
2026-04-18,3,20,4742
2026-04-19,3,17,4540
2026-04-20,3,11,3720
2026-04-21,3,14,3844
2026-04-22,3,12,3862
2026-04-23,3,15,4049
2026-04-24,3,12,4276
2026-04-25,3,16,4668
2026-04-26,3,21,4721
2026-04-27,3,26,4334
2026-04-28,3,19,4103
2026-04-29,3,24,4585
2026-04-30,3,5,3533
2026-05-01,3,18,4615
2026-05-02,3,18,4758
2026-05-03,3,17,4615
2026-05-04,3,14,4004
2026-05-05,3,3,3501
2026-05-06,3,9,3878
2026-05-07,3,13,4004
2026-05-08,3,16,4366
2026-05-09,3,10,4239
2026-05-10,3,14,4457
2026-05-11,3,20,4187
2026-05-12,3,20,4262
2026-05-13,3,14,4084
2026-05-14,3,20,4389
2026-05-15,3,13,4290
2026-05-16,3,15,4539
2026-05-17,3,20,4664
2026-05-18,3,17,3982
2026-05-19,3,16,4103
2026-05-20,3,12,4118
2026-05-21,3,16,4388
2026-05-22,3,19,4532
2026-05-23,3,13,4563
2026-05-24,3,15,4464
2026-05-25,3,13,3701
2026-05-26,3,13,3724
2026-05-27,3,16,4063
2026-05-28,3,11,3968
2026-05-29,3,16,4319
2026-05-30,3,6,4092
2026-05-31,3,4,3845
2026-06-01,3,22,4291
2026-06-02,3,18,4131
2026-06-03,3,16,4189
2026-06-04,3,14,4273
2026-06-05,3,23,4892
2026-06-06,3,15,4622
2026-06-07,3,17,4624
2026-06-08,3,19,4238
2026-06-09,3,23,4316
2026-06-10,3,13,4153
2026-06-11,3,13,4103
2026-06-12,3,13,4270
2026-06-13,3,15,4930
2026-06-14,3,20,4690
2026-06-15,3,10,3774
2026-06-16,3,20,4276
2026-06-17,3,11,4058
2026-06-18,3,19,4428
2026-06-19,3,9,4063
2026-06-20,3,11,4317
2026-06-21,3,18,4637
2026-06-22,3,17,4314
2026-06-23,3,20,4246
2026-06-24,3,19,4466
2026-06-25,3,11,3992
2026-06-26,3,14,4298
2026-06-27,3,22,4830
2026-06-28,3,9,4238
2026-06-29,3,13,3969
2026-06-30,3,16,4139
